name,record,weight_class,nick_name
Jodie Esquibel,6-6-0 (W-L-D),Women's Strawweight,
Rafael Estevam,13-0-0 (W-L-D),Flyweight,"""Macapa"""
Achilles Estremadura,0-1-0 (W-L-D),Lightweight,
Shaun Etchell,0-1-0 (W-L-D),Flyweight,
Terry Etim,15-5-0 (W-L-D),Lightweight,
Fred Ettish,0-0-0 (W-L-D),N/A,
Sijara Eubanks,8-7-0 (W-L-D),Women's Flyweight,"""SarJ"""
Doug Evans,6-2-0 (W-L-D),Lightweight,
Rashad Evans,24-8-1 (W-L-D),Light Heavyweight,"""Suga"""
Ashlee Evans-Smith,6-6-0 (W-L-D),Women's Bantamweight,"""Rebel Girl"""
Dan Evensen,10-4-0 (W-L-D),Heavyweight,"""The Viking"""
Tonya Evinger,19-8-0 (W-L-D),Women's Featherweight,"""Triple Threat"""
Movsar Evloev,19-0-0 (W-L-D),Featherweight,
Andre Ewell,17-9-0 (W-L-D),Featherweight,"""Mr. Highlight"""
Chris Ewert,7-0-0 (W-L-D),Middleweight,"""El Tanke"""
Jessica Eye,15-11-0 (W-L-D),Women's Flyweight,"""Evil"""
Edward Faaloloto,5-3-0 (W-L-D),Lightweight,"""Falo"""
Urijah Faber,35-11-0 (W-L-D),Bantamweight,"""The California Kid"""
Melinda Fábián,4-3-2 (W-L-D),Women's Flyweight,
Wagnney Fabiano,14-2-0 (W-L-D),Featherweight,
Bartosz Fabinski,15-5-0 (W-L-D),Middleweight,"""The Butcher"""
Ron Faircloth,0-0-0 (W-L-D),Light Heavyweight,
Zarah Fairn,6-5-0 (W-L-D),Women's Bantamweight,"""Infinite"""
Jason Fairn,0-0-0 (W-L-D),N/A,
Rinat Fakhretdinov,23-1-1 (W-L-D),Welterweight,"""Gladiator"""
Maiquel Falcao,26-3-0 (W-L-D),Middleweight,"""Big Rig"""
Pedro Falcao,16-5-0 (W-L-D),Bantamweight,"""Pedrinho"""
Brodie Farber,13-5-0 (W-L-D),Welterweight,
Kalindra Faria,18-8-1 (W-L-D),Women's Flyweight,
Jair Farias,0-0-0 (W-L-D),Featherweight,
Rico Farrington,0-0-0 (W-L-D),Welterweight,
Kelly Faszholz,3-2-0 (W-L-D),Women's Bantamweight,
Paul Felder,17-6-0 (W-L-D),Lightweight,"""The Irish Dragon"""
Carlos Felipe,11-2-0 (W-L-D),Heavyweight,"""Boi"""
Josh Ferguson,7-5-0 (W-L-D),Flyweight,"""Taz"""
Tony Ferguson,26-11-0 (W-L-D),Welterweight,"""El Cucuy"""
CJ Fernandes,0-0-0 (W-L-D),Welterweight,
Kauê Fernandes,10-2-0 (W-L-D),Lightweight,
Gabriella Fernandes,10-3-0 (W-L-D),Women's Flyweight,"""Gabi"""
Lucas Fernando,0-1-0 (W-L-D),Middleweight,
Diego Ferreira,19-6-0 (W-L-D),Lightweight,
Cezar Ferreira,14-8-0 (W-L-D),Middleweight,"""Mutante"""
Alexandre Ferreira,18-7-0 (W-L-D),Light Heavyweight,"""Cacareco"""
Brunno Ferreira,13-2-0 (W-L-D),Middleweight,"""The Hulk"""
Erisson Ferreira,1-1-0 (W-L-D),Flyweight,
Scott Ferrozzo,0-0-0 (W-L-D),Heavyweight,
Timo Feucht,0-0-0 (W-L-D),Light Heavyweight,
Andre Fialho,16-8-0 (W-L-D),Welterweight,
Drew Fickett,31-5-0 (W-L-D),Welterweight,"""The Master"""
Scott Fielder,0-0-0 (W-L-D),N/A,
Test Fighter2,0-0-0 (W-L-D),Middleweight,
Michal Figlak,8-2-0 (W-L-D),Lightweight,"""Mad Dog"""
Deiveson Figueiredo,24-5-1 (W-L-D),Bantamweight,"""Deus da Guerra"""
Francisco Figueiredo,13-5-1 (W-L-D),Flyweight,"""Sniper"""
Edwin Figueroa,9-4-0 (W-L-D),Bantamweight,"""El Feroz"""
Jafel Filho,16-4-0 (W-L-D),Flyweight,"""Pastor"""
Andre Fili,24-12-0 (W-L-D),Featherweight,"""Touchy"""
Torrez Finney,11-0-0 (W-L-D),Middleweight,"""The Punisher"""
Luigi Fioravanti,13-5-0 (W-L-D),Welterweight,
Nick Fiore,6-2-0 (W-L-D),Lightweight,
Manon Fiorot,12-2-0 (W-L-D),Women's Flyweight,"""The Beast"""
Spencer Fisher,25-9-0 (W-L-D),Lightweight,"""The King"""
Chris Fishgold,18-4-1 (W-L-D),Featherweight,
Jon Fitch,27-5-1 (W-L-D),Welterweight,
Isi Fitikefu,0-0-0 (W-L-D),Light Heavyweight,
Rafael Fiziev,13-4-0 (W-L-D),Lightweight,"""Ataman"""
Colin Fletcher,9-3-0 (W-L-D),Lightweight,"""The Freakshow"""
Nathan Fletcher,9-2-0 (W-L-D),Bantamweight,
AJ Fletcher,10-3-0 (W-L-D),Welterweight,"""The Ghost"""
Jimmy Flick,17-9-0 (W-L-D),Flyweight,"""The Brick"""
Luke Flores,7-2-0 (W-L-D),Lightweight,
Ty Flores,0-1-0 (W-L-D),Light Heavyweight,
Alejandro Flores,0-1-0 (W-L-D),Featherweight,
Kenny Florian,16-6-0 (W-L-D),Featherweight,"""KenFlo"""
Darrius Flowers,12-8-1 (W-L-D),Welterweight,"""Beastmode"""
Caros Fodor,7-3-0 (W-L-D),Lightweight,"""The Future"""
Rob Font,22-8-0 (W-L-D),Bantamweight,
Jesse Forbes,13-6-0 (W-L-D),Middleweight,
Jussier Formiga,23-8-0 (W-L-D),Flyweight,
Brianna Fortino,9-3-0 (W-L-D),Women's Strawweight,"""The Bull"""
Marcel Fortuna,9-3-0 (W-L-D),Light Heavyweight,"""Maozinha"""
Brian Foster,17-5-0 (W-L-D),Welterweight,
Xavier Foupa-Pokam,20-11-0 (W-L-D),Middleweight,"""The Professor X"""
Glaico Franca,14-5-0 (W-L-D),Lightweight,"""Nego"""
Hermes Franca,20-8-0 (W-L-D),Lightweight,"""The Unreal"""
Kai Kara-France,25-12-0 (W-L-D),Flyweight,"""Don't Blink"""
Rich Franklin,29-7-0 (W-L-D),Middleweight,"""Ace"""
Stephanie Frausto,0-1-0 (W-L-D),Women's Strawweight,
Justin Frazier,0-1-0 (W-L-D),Heavyweight,"""The Grizzlybear"""
Zane Frazier,0-2-0 (W-L-D),Heavyweight,"""Nasty"""
Ian Freeman,14-6-1 (W-L-D),Heavyweight,"""The Machine"""
Kennedy Freeman,0-0-0 (W-L-D),Women's Flyweight,
Willamy Freire,17-4-0 (W-L-D),Lightweight,"""Chiquerim"""
Patricio Pitbull,36-8-0 (W-L-D),Featherweight,"""Pitbull"""
Donavon Frelow,6-3-0 (W-L-D),Bantamweight,
Josh Fremd,11-6-0 (W-L-D),Middleweight,
Matt Frevola,11-5-1 (W-L-D),Lightweight,"""The SteamRolla"""
Jinh Yu Frey,11-10-0 (W-L-D),Women's Strawweight,
Artem Frolov,0-0-0 (W-L-D),Middleweight,
Sarah Frota,9-2-0 (W-L-D),Women's Flyweight,"""A Treta"""
Daniel Frunza,9-3-0 (W-L-D),Welterweight,
Don Frye,11-1-0 (W-L-D),Heavyweight,"""The Predator"""
Anthony Fryklund,11-4-0 (W-L-D),Middleweight,"""The Freak"""
Adam Fugitt,10-4-0 (W-L-D),Welterweight,
Katsuhisa Fuji,0-0-0 (W-L-D),N/A,
Riki Fukuda,19-7-0 (W-L-D),Middleweight,
Masio Fullen,10-6-0 (W-L-D),Featherweight,
Travis Fulton,0-0-0 (W-L-D),Heavyweight,
Sam Fulton,0-0-0 (W-L-D),Heavyweight,
Ricardo Funch,8-4-0 (W-L-D),Welterweight,"""Golden Boy"""
Gustavo Gabriel,0-0-0 (W-L-D),Flyweight,
Claudia Gadelha,18-5-0 (W-L-D),Women's Strawweight,"""Claudinha"""
Magomed Gadzhiyasulov,9-1-0 (W-L-D),Light Heavyweight,
Justin Gaethje,27-5-0 (W-L-D),Lightweight,"""The Highlight"""
Sheila Gaff,10-6-1 (W-L-D),Women's Bantamweight,"""The German Tank"""
Muin Gafurov,20-6-0 (W-L-D),Bantamweight,"""Tajiik"""
Mitch Gagnon,12-5-0 (W-L-D),Bantamweight,
Dave Galera,5-1-0 (W-L-D),Bantamweight,"""Scarecrow"""
Mickey Gall,7-7-0 (W-L-D),Welterweight,
Daniel Gallemore,0-0-0 (W-L-D),Heavyweight,
Tom Gallicchio,19-11-0 (W-L-D),Welterweight,"""Da Tank"""
Joey Gambino,9-2-0 (W-L-D),Featherweight,"""The Raging Warrior"""
Manny Gamburyan,18-11-0 (W-L-D),Bantamweight,"""The Anvil"""
Mateusz Gamrot,25-3-0 (W-L-D),Lightweight,"""Gamer"""
Shamil Gamzatov,14-1-0 (W-L-D),Light Heavyweight,
Ariel Gandulla,4-0-1 (W-L-D),Middleweight,
Ciryl Gane,13-2-0 (W-L-D),Heavyweight,"""Bon Gamin"""
Sean Gannon,1-1-0 (W-L-D),Heavyweight,"""The Cannon"""
Junye Gao,0-0-0 (W-L-D),Bantamweight,
Luiz Garagorri,13-2-0 (W-L-D),Featherweight,
Cody Garbrandt,14-7-0 (W-L-D),Bantamweight,"""No Love"""
Edgar Garcia,14-5-0 (W-L-D),Welterweight,
Leonard Garcia,19-11-1 (W-L-D),Featherweight,"""Bad Boy"""
Alex Garcia,15-5-0 (W-L-D),Welterweight,"""The Dominican Nightmare"""
Elias Garcia,6-2-0 (W-L-D),Flyweight,
Harrison Garcia,0-0-0 (W-L-D),Light Heavyweight,"""Hitman"""
Fernie Garcia,10-5-0 (W-L-D),Bantamweight,
Rafa Garcia,17-4-0 (W-L-D),Lightweight,"""Gifted"""
Steve Garcia,17-5-0 (W-L-D),Featherweight,"""Mean Machine"""
Pablo Garza,13-4-0 (W-L-D),Featherweight,"""The Scarecrow """
Azamat Gashimov,10-3-0 (W-L-D),Flyweight,
Brian Gassaway,24-17-3 (W-L-D),Welterweight,"""Mandingo"""
Kelvin Gastelum,20-10-0 (W-L-D),Middleweight,
Willie Gates,12-7-0 (W-L-D),Flyweight,"""Whoop Ass"""
Melissa Gatto,8-2-2 (W-L-D),Women's Flyweight,
Louis Gaudinot,6-4-0 (W-L-D),Flyweight,"""Goodnight"""
Ateba Gautier,7-1-0 (W-L-D),Middleweight,"""The Silent Assassin"""
Manuel Gaxhja,0-0-0 (W-L-D),Lightweight,
Shamil Gaziev,14-1-0 (W-L-D),Heavyweight,
Paul Georgieff,7-2-0 (W-L-D),Welterweight,
Brian Geraghty,24-9-2 (W-L-D),Lightweight,"""Duke"""
Karine Gevorgyan,3-3-0 (W-L-D),Women's Flyweight,"""Princess"""
Yanis Ghemmouri,12-3-0 (W-L-D),Bantamweight,"""The Desert Warrior"""
Darrel Gholar,0-0-0 (W-L-D),Middleweight,
Tiki Ghosn,8-5-0 (W-L-D),Welterweight,
Christos Giagos,20-12-0 (W-L-D),Lightweight,"""The Spartan"""
Joe Giannetti,7-1-0 (W-L-D),Lightweight,"""Skeletor"""
James Giboo,11-3-0 (W-L-D),Welterweight,
Cody Gibson,22-11-0 (W-L-D),Bantamweight,"""The Renegade"""
Chase Gibson,0-1-0 (W-L-D),Lightweight,
Thomas Gifford,17-9-0 (W-L-D),Lightweight,"""The Young Lion"""
Joe Gigliotti,7-2-0 (W-L-D),Middleweight,"""Capo"""
Joey Gilbert,0-0-0 (W-L-D),Lightweight,
Trevin Giles,16-7-0 (W-L-D),Welterweight,
Gregor Gillespie,14-1-0 (W-L-D),Lightweight,"""The Gift"""
Jason Gilliam,11-1-0 (W-L-D),Welterweight,"""The Gizzard"""
Micheal Gillmore,6-5-0 (W-L-D),Welterweight,"""The Gentleman"""
Alex Gilpin,10-1-0 (W-L-D),Featherweight,
Bob Gilstrap,0-0-0 (W-L-D),Middleweight,
Eperaim Ginting,0-1-0 (W-L-D),Bantamweight,
He-Man Gipson,0-0-0 (W-L-D),N/A,
Ricky Glenn,22-9-2 (W-L-D),Welterweight,"""The Gladiator"""
Mark Godbeer,13-3-0 (W-L-D),Heavyweight,"""The Hand Of"""
Loopy Godinez,13-5-0 (W-L-D),Women's Strawweight,
Allan Goes,0-0-0 (W-L-D),Middleweight,
Billy Ray Goff,9-4-0 (W-L-D),Welterweight,
Amiran Gogoladze,0-1-0 (W-L-D),Welterweight,
Hannah Goldy,6-4-0 (W-L-D),Women's Flyweight,"""24K"""
Marcelo Golm,6-3-0 (W-L-D),Heavyweight,
Denise Gomes,11-3-0 (W-L-D),Women's Strawweight,"""Dee"""
Luis Gomez,4-1-0 (W-L-D),Featherweight,"""Tiger Junior"""
Joey Gomez,6-2-0 (W-L-D),Bantamweight,"""KO King"""
Ulysses Gomez,9-4-0 (W-L-D),Flyweight,"""Useless"""
Edson Gomez,0-1-0 (W-L-D),Welterweight,
Takanori Gomi,35-14-0 (W-L-D),Lightweight,"""The Fireball Kid"""
William Gomis,14-3-0 (W-L-D),Featherweight,"""Jaguar"""
Akihiro Gono,28-14-7 (W-L-D),Welterweight,"""The Japanese Sensation"""
Gabriel Gonzaga,17-11-0 (W-L-D),Heavyweight,"""Napao"""
Justin Gonzales,9-0-0 (W-L-D),Featherweight,"""J-Train"""
Pearl Gonzalez,6-2-0 (W-L-D),Women's Strawweight,
Jason Gonzalez,11-5-0 (W-L-D),Lightweight,"""Nicoya"""
Lewis Gonzalez,10-2-0 (W-L-D),Welterweight,"""""Lethal"""""
Mikey Gonzalez,0-1-0 (W-L-D),Lightweight,
Jennifer Gonzalez,0-0-0 (W-L-D),Women's Flyweight,"""La Jefa"""
Jorge Gonzalez,16-4-0 (W-L-D),Light Heavyweight,"""Street"""
Erick Gonzalez,14-8-0 (W-L-D),Lightweight,"""The Ghost Pepper"""
Lyman Good,21-6-0 (W-L-D),Welterweight,"""Cyborg"""
Jared Gooden,23-10-0 (W-L-D),Welterweight,"""Nite Train"""
Gary Goodridge,0-0-0 (W-L-D),Heavyweight,
Gerard Gordeau,2-1-0 (W-L-D),N/A,
Tebaris Gordon,3-1-0 (W-L-D),Heavyweight,"""Boom"""
Eddie Gordon,8-4-0 (W-L-D),Middleweight,"""Truck"""
Jared Gordon,21-7-0 (W-L-D),Lightweight,"""Flash"""
Malcolm Gordon,14-8-0 (W-L-D),Flyweight,"""X"""
Tresean Gore,6-3-0 (W-L-D),Middleweight,"""Mr. Vicious"""
Alex Gorgees,7-1-0 (W-L-D),Lightweight,"""Hitman"""
Themba Gorimbo,14-5-0 (W-L-D),Welterweight,"""The Answer"""
Tim Gorman,9-4-0 (W-L-D),Bantamweight,"""The Psycho"""
Chase Gormley,6-2-0 (W-L-D),Heavyweight,
Jonathan Goulet,22-11-0 (W-L-D),Welterweight,"""The Road Warrior"""
Thibault Gouti,12-5-0 (W-L-D),Lightweight,"""GT"""
Wilson Gouveia,12-7-0 (W-L-D),Middleweight,
Damian Grabowski,20-5-0 (W-L-D),Heavyweight,"""The Polish Pitbull"""
Kron Gracie,5-3-0 (W-L-D),Featherweight,
Rolles Gracie,3-1-0 (W-L-D),Heavyweight,
Renzo Gracie,13-7-1 (W-L-D),Welterweight,
Royce Gracie,13-2-2 (W-L-D),Middleweight,
Roger Gracie,6-2-0 (W-L-D),Middleweight,
Bogdan Grad,15-3-0 (W-L-D),Featherweight,"""The Unleashed"""
Miranda Granger,7-3-0 (W-L-D),Women's Strawweight,"""Danger"""
Davey Grant,16-7-0 (W-L-D),Bantamweight,"""Dangerous"""
TJ Grant,21-5-0 (W-L-D),Lightweight,
Dwight Grant,11-6-0 (W-L-D),Middleweight,"""The Body Snatcher"""
Alexa Grasso,16-5-1 (W-L-D),Women's Flyweight,
Tony Gravely,23-9-0 (W-L-D),Bantamweight,
Shelton Graves,7-3-0 (W-L-D),Heavyweight,"""“The Gravedigger”"""
Michael Graves,6-0-1 (W-L-D),Welterweight,
Kevin Gray,9-4-0 (W-L-D),Flyweight,"""Pocket Herc"""
James Gray,4-2-0 (W-L-D),Bantamweight,"""The Phenom"""
Desmond Green,23-8-0 (W-L-D),Lightweight,"""The Predator"""
King Green,32-17-1 (W-L-D),Lightweight,
Gabe Green,12-5-0 (W-L-D),Lightweight,"""Gifted"""
Maurice Greene,9-7-0 (W-L-D),Heavyweight,"""The Crochet Boss"""
Logan Greenhalgh,0-0-0 (W-L-D),Heavyweight,"""Tank"""
Matt Grice,15-5-0 (W-L-D),Featherweight,"""The Real One"""
Jordan Griffin,18-9-0 (W-L-D),Featherweight,"""NativePsycho"""
Tyson Griffin,15-6-0 (W-L-D),Featherweight,
Forrest Griffin,19-7-0 (W-L-D),Light Heavyweight,
Max Griffin,20-11-0 (W-L-D),Welterweight,"""Pain"""
Chad Griggs,11-3-0 (W-L-D),Light Heavyweight,"""The Grave Digger"""
Charalampos Grigoriou,8-5-0 (W-L-D),Bantamweight,"""Ferocious """
Garrett Grimes,0-0-0 (W-L-D),Middleweight,
Max Grishin,32-10-2 (W-L-D),Light Heavyweight,"""Maximus"""
Josh Grispi,14-5-0 (W-L-D),Featherweight,"""The Fluke"""
Garrett Gross,11-8-0 (W-L-D),Lightweight,"""Glory to God"""
Neil Grove,7-2-0 (W-L-D),Heavyweight,"""Goliath"""
Kendall Grove,14-9-0 (W-L-D),Middleweight,"""Da Spyder"""
Chris Gruetzemacher,15-5-0 (W-L-D),Lightweight,"""Gritz"""
Vik Grujic,7-5-0 (W-L-D),Welterweight,"""The Spartan"""
Mike Grundy,12-4-0 (W-L-D),Featherweight,
Wang Guan,20-1-1 (W-L-D),Featherweight,"""The Dongbei Tiger"""
Ning Guangyou,6-4-1 (W-L-D),Bantamweight,
Nandor Guelmino,11-5-1 (W-L-D),Heavyweight,"""The Hun"""
Rainn Guerrero,0-1-0 (W-L-D),Women's Strawweight,
Shannon Gugerty,12-6-0 (W-L-D),Lightweight,
Clay Guida,38-22-0 (W-L-D),Lightweight,"""The Carpenter"""
Melvin Guillard,48-14-3 (W-L-D),Lightweight,"""The Young Assassin"""
Marcelo Guimaraes,9-2-1 (W-L-D),Middleweight,
Brad Gumm,0-0-0 (W-L-D),Welterweight,
John Gunderson,23-8-0 (W-L-D),Lightweight,"""Guns"""
John Gunther,7-2-0 (W-L-D),Lightweight,"""The Machine"""
Fabio Gurgel,0-0-0 (W-L-D),N/A,
Jorge Gurgel,17-8-0 (W-L-D),Lightweight,"""JG"""
Luis Gurule,10-1-0 (W-L-D),Flyweight,"""Grim"""
Bogdan Guskov,17-3-0 (W-L-D),Light Heavyweight,"""Czarevitch"""
Gugun Gusman,0-1-0 (W-L-D),Bantamweight,
Andre Gusmao,5-2-0 (W-L-D),Light Heavyweight,
Alexander Gustafsson,18-8-0 (W-L-D),Light Heavyweight,"""The Mauler"""
Andreas Gustafsson,12-2-0 (W-L-D),Welterweight,"""Bane"""
Chris Gutierrez,22-5-2 (W-L-D),Featherweight,"""El Guapo"""
Horacio Gutierrez,3-3-0 (W-L-D),Featherweight,"""The Punisher"""
Mando Gutierrez,0-1-0 (W-L-D),Bantamweight,
Mike Guymon,13-5-1 (W-L-D),Welterweight,"""The Joker"""
Chelsea Hackett,0-1-0 (W-L-D),Women's Flyweight,
Keith Hackney,0-0-0 (W-L-D),N/A,
Cody Haddon,8-1-0 (W-L-D),Bantamweight,
Jake Hadley,11-4-0 (W-L-D),Bantamweight,"""White Kong"""
Damir Hadžović,14-8-0 (W-L-D),Lightweight,"""The Bosnian Bomber"""
Bassil Hafez,9-4-1 (W-L-D),Welterweight,"""The Habibi """
Tim Hague,12-5-0 (W-L-D),Heavyweight,"""The Thrashing Machine"""
Yazan Hajeh,6-0-0 (W-L-D),Featherweight,"""Yazzle Dazzle"""
Ryan Hall,9-2-0 (W-L-D),Featherweight,"""The Wizard"""
Mark Hall,0-0-0 (W-L-D),N/A,
Uriah Hall,18-11-0 (W-L-D),Middleweight,"""Prime Time"""
Dennis Hallman,66-14-2 (W-L-D),Lightweight,"""Superman"""
Piotr Hallmann,15-4-0 (W-L-D),Lightweight,
Tony Halme,0-0-0 (W-L-D),Heavyweight,
John Halverson,16-6-0 (W-L-D),Lightweight,"""The Hurricane"""
Seohee Ham,16-8-0 (W-L-D),Women's Strawweight,
Frank Hamaker,0-0-0 (W-L-D),N/A,
Rami Hamed,16-3-0 (W-L-D),Welterweight,
Matt Hamill,12-5-0 (W-L-D),Light Heavyweight,"""The Hammer"""
Anthony Hamilton,15-9-0 (W-L-D),Heavyweight,"""Freight Train"""
CJ Hamilton,11-5-0 (W-L-D),Flyweight,
Jared Hamman,13-6-0 (W-L-D),Middleweight,"""The Messenger"""
James Hammortree,5-2-0 (W-L-D),Middleweight,"""The Sledge"""
Chad Hanekom,0-1-0 (W-L-D),Middleweight,
Kay Hansen,7-6-0 (W-L-D),Women's Strawweight,
Nasrat Haqparast,18-5-0 (W-L-D),Lightweight,
Shin Haraguchi,3-2-0 (W-L-D),Lightweight,
Janay Harding,3-2-0 (W-L-D),Women's Bantamweight,
Antoni Hardonk,8-6-0 (W-L-D),Heavyweight,"""Mr. Wonderful"""
George Hardwick,0-1-0 (W-L-D),Lightweight,
Dan Hardy,25-10-0 (W-L-D),Welterweight,"""The Outlaw"""
Greg Hardy,7-5-0 (W-L-D),Heavyweight,"""Prince of War"""
Josiah Harrell,7-0-0 (W-L-D),Welterweight,"""Muscle Hamster """
Walt Harris,13-10-0 (W-L-D),Heavyweight,"""The Big Ticket"""
Gerry Harris,1-4-0 (W-L-D),N/A,
Phil Harris,22-12-0 (W-L-D),Flyweight,"""Billy"""
Gerald Harris,16-3-0 (W-L-D),Middleweight,"""Hurricane"""
Carlston Harris,19-7-0 (W-L-D),Welterweight,"""Mocambique"""
Kayla Harrison,19-1-0 (W-L-D),Women's Bantamweight,
Collin Hart,4-2-1 (W-L-D),Middleweight,
Dale Hartt,6-2-0 (W-L-D),Lightweight,
Clay Harvison,9-5-0 (W-L-D),Welterweight,"""Heavy Metal"""
Chris Haseman,20-16-0 (W-L-D),Light Heavyweight,"""The Hammer"""
Hayder Hassan,6-3-0 (W-L-D),Welterweight,
Ahmad Hassanzada,1-1-0 (W-L-D),Lightweight,
John Hathaway,17-2-0 (W-L-D),Welterweight,"""The Hitman"""
Phil Hawes,12-6-0 (W-L-D),Middleweight,"""No Hype"""
Tommy Hayden,8-2-0 (W-L-D),Featherweight,"""Wild Card"""
Josh Haynes,9-7-0 (W-L-D),Welterweight,"""Bring The Pain"""
Dustin Hazelett,14-7-0 (W-L-D),Lightweight,
James Head,9-4-0 (W-L-D),Welterweight,
Pat Healy,31-19-0 (W-L-D),Lightweight,"""Bam Bam"""
David Heath,9-3-0 (W-L-D),Light Heavyweight,
Chris Heatherly,8-3-0 (W-L-D),Welterweight,"""Stump"""
Jake Hecht,11-4-0 (W-L-D),Welterweight,"""The Hitman"""
Nick Hein,14-5-0 (W-L-D),Lightweight,"""Sergeant"""
Ian Heinisch,14-5-0 (W-L-D),Middleweight,"""The Hurricane"""
Marcin Held,23-7-0 (W-L-D),Lightweight,
Delson Heleno,23-7-0 (W-L-D),Middleweight,"""Pé De Chumbo"""
Benson Henderson,23-5-0 (W-L-D),Welterweight,"""Smooth"""
Dan Henderson,32-15-0 (W-L-D),Middleweight,"""Hendo"""
Cory Hendricks,3-1-0 (W-L-D),Light Heavyweight,
Josh Hendricks,18-5-0 (W-L-D),Heavyweight,"""Heavy"""
Johny Hendricks,18-8-0 (W-L-D),Middleweight,"""Bigg Rigg"""
Luis Henrique,10-4-0 (W-L-D),Heavyweight,"""KLB"""
José Henrique,0-1-0 (W-L-D),Welterweight,
Danny Henry,12-4-0 (W-L-D),Featherweight,"""The Hatchet"""
Victor Henry,25-7-0 (W-L-D),Bantamweight,"""La Mangosta"""
Jai Herbert,13-6-1 (W-L-D),Lightweight,"""Black Country Banger"""
Ed Herman,27-16-0 (W-L-D),Light Heavyweight,"""Short Fuse"""
Dave Herman,21-6-0 (W-L-D),Heavyweight,
Jack Hermansson,24-9-0 (W-L-D),Middleweight,"""The Joker"""
Nohelin Hernandez,10-4-0 (W-L-D),Bantamweight,"""Suave"""
Junior Hernandez,14-6-0 (W-L-D),Bantamweight,"""Hot Handed"""
Noe Hernandez,0-0-0 (W-L-D),Middleweight,
Alexander Hernandez,16-8-0 (W-L-D),Lightweight,"""The Great Ape"""
Anthony Hernandez,14-2-0 (W-L-D),Middleweight,"""Fluffy"""
Carlos Hernandez,10-5-0 (W-L-D),Flyweight,
Alvaro Herrera,9-6-0 (W-L-D),Welterweight,"""Chango"""
Geane Herrera,9-3-0 (W-L-D),Flyweight,"""The Revolutionary"""
Paul Herrera,0-0-0 (W-L-D),N/A,
Felice Herrig,14-10-0 (W-L-D),Women's Strawweight,"""Lil Bulldog"""
Heath Herring,28-14-0 (W-L-D),Heavyweight,"""The Texas Crazy Horse"""
Jon Hess,0-0-0 (W-L-D),N/A,
Clint Hester,11-6-0 (W-L-D),Light Heavyweight,"""Headbussa"""
Jimy Hettes,11-3-0 (W-L-D),Featherweight,"""The Kid"""
Jay Hieron,23-7-0 (W-L-D),Welterweight,"""The Thoroughbred"""
Brady Hiestand,9-2-0 (W-L-D),Bantamweight,"""Bam Bam"""
Jason High,19-5-0 (W-L-D),Lightweight,"""The Kansas City Bandit"""
Richie Hightower,7-2-0 (W-L-D),Welterweight,"""The Dirty Samurai"""
Jamahal Hill,12-4-0 (W-L-D),Light Heavyweight,"""Sweet Dreams"""
Angela Hill,18-14-0 (W-L-D),Women's Strawweight,"""Overkill"""
Corey Hill,2-2-0 (W-L-D),Lightweight,"""The Real Deal"""
Tyler Hill,6-1-0 (W-L-D),Welterweight,"""Zombie"""
Kailan Hill,0-0-0 (W-L-D),Middleweight,
Alvin Hines,7-1-0 (W-L-D),Heavyweight,"""Goozie"""
Branden Lee Hinkle,14-7-0 (W-L-D),Light Heavyweight,"""The Iron Lion"""
Hatsu Hioki,27-8-2 (W-L-D),Featherweight,
Kuniyoshi Hironaka,11-5-0 (W-L-D),Welterweight,
Mizuto Hirota,19-10-2 (W-L-D),Lightweight,"""Pugnus"""
Matt Hobar,9-3-0 (W-L-D),Bantamweight,"""The Crowbar"""
Bobby Hoffman,26-4-0 (W-L-D),Heavyweight,"""The Bad Seed"""
Chris Hofmann,0-1-0 (W-L-D),Welterweight,
Sam Hoger,6-3-0 (W-L-D),Light Heavyweight,"""The Alaskan Assassin"""
Andrew Holbrook,12-2-0 (W-L-D),Lightweight,
Chris Holdsworth,7-0-0 (W-L-D),Bantamweight,"""Holds It Down"""
Kevin Holland,28-13-0 (W-L-D),Welterweight,"""Trailblazer"""
Frank Holland,0-0-0 (W-L-D),Heavyweight,"""The Tank"""
Roger Hollett,13-5-0 (W-L-D),Light Heavyweight,"""The Hulk"""
Max Holloway,26-8-0 (W-L-D),Featherweight,"""Blessed"""
Holly Holm,15-7-0 (W-L-D),Women's Bantamweight,"""The Preacher's Daughter"""
Rex Holman,4-2-0 (W-L-D),Light Heavyweight,"""Big Dog"""
Joseph Holmes,8-4-0 (W-L-D),Middleweight,"""Uglyman Joe"""
Kurt Holobaugh,22-10-0 (W-L-D),Lightweight,"""The Hurt"""
Paddy Holohan,12-2-1 (W-L-D),Flyweight,"""The Hooligan"""
Mark Holst,8-3-0 (W-L-D),Lightweight,"""Boots"""
Scott Holtzman,14-6-0 (W-L-D),Lightweight,"""Hot Sauce"""
Sabah Homasi,11-8-0 (W-L-D),Welterweight,"""The Problem"""
Mark Hominick,20-12-0 (W-L-D),Featherweight,"""The Machine"""
Barb Honchak,10-5-0 (W-L-D),Women's Flyweight,"""The Little Warrior"""
SeongChan Hong,0-1-0 (W-L-D),Lightweight,
JunYoung Hong,0-2-0 (W-L-D),Featherweight,
Satoshi Honma,0-0-0 (W-L-D),Heavyweight,
David Hood,0-0-0 (W-L-D),N/A,
Lorenzo Hood,0-1-0 (W-L-D),Heavyweight,
Dan Hooker,24-12-0 (W-L-D),Lightweight,"""The Hangman"""
