name,record,weight_class,nick_name
Wang Anying,2-2-0 (W-L-D),Welterweight,"""Smiley"""
Shinsho Anzai,10-2-0 (W-L-D),Welterweight,"""Animal"""
Aoriqileng,25-11-0 (W-L-D),Bantamweight,"""The Mongolian Murderer"""
Josh Appelt,15-7-0 (W-L-D),Heavyweight,
Romie Aram,6-0-0 (W-L-D),Welterweight,
Felipe Arantes,18-9-1 (W-L-D),Bantamweight,"""Sertanejo"""
Igor Araujo,25-8-0 (W-L-D),Welterweight,
Viviane Araújo,13-7-0 (W-L-D),Women's Flyweight,"""Vivi"""
Julio Arce,19-6-0 (W-L-D),Featherweight,
Carrese Archer,0-0-0 (W-L-D),Middleweight,"""One Punch"""
Alice Ardelean,10-7-0 (W-L-D),Women's Strawweight,
Dan Argueta,9-3-0 (W-L-D),Bantamweight,"""The Determined"""
Rheza Arianto,0-0-0 (W-L-D),Featherweight,
Hashem Arkhagha,0-1-0 (W-L-D),Middleweight,
Andrei Arlovski,34-24-0 (W-L-D),Heavyweight,"""The Pit Bull"""
Garrett Armfield,10-5-0 (W-L-D),Bantamweight,
Austin Arnett,16-6-0 (W-L-D),Featherweight,"""Golden Boy"""
Eli Aronov,0-1-0 (W-L-D),Middleweight,
Akbarh Arreola,23-9-1 (W-L-D),Lightweight,"""El Caballero"""
Antonio Arroyo,9-5-0 (W-L-D),Middleweight,
Matt Arroyo,3-3-0 (W-L-D),Welterweight,"""No Regard"""
Cesar Arzamendia,7-4-0 (W-L-D),Lightweight,"""Goku"""
Kai Asakura,21-5-0 (W-L-D),Flyweight,
Teddy Ash,0-0-0 (W-L-D),Middleweight,
Arman Ashimov,0-0-0 (W-L-D),Flyweight,
Yanal Ashmouz,8-2-0 (W-L-D),Lightweight,"""Red Fox"""
Askar Askar,11-1-0 (W-L-D),Featherweight,"""AK-47"""
Askar Askarov,14-1-1 (W-L-D),Flyweight,"""Bullet"""
Cyril Asker,9-4-0 (W-L-D),Heavyweight,"""Silverback"""
